Site,Station,Bare ground_1.5_E,Bare ground_1.5_N,Bare ground_1.5_S,Bare ground_1.5_W,Bare ground_10_E,Bare ground_10_N,Bare ground_10_S,Bare ground_10_W,Bare ground_5_E,Bare ground_5_N,Bare ground_5_S,Bare ground_5_W,Bare_ground,Bilberry_1.5_E,Bilberry_1.5_N,Bilberry_1.5_S,Bilberry_1.5_W,Bilberry_10_E,Bilberry_10_N,Bilberry_10_S,Bilberry_10_W,Bilberry_5_E,Bilberry_5_N,Bilberry_5_S,Bilberry_5_W,Bilberry,Bramble_1.5_E,Bramble_1.5_N,Bramble_1.5_S,Bramble_1.5_W,Bramble_10_E,Bramble_10_N,Bramble_10_S,Bramble_10_W,Bramble_5_E,Bramble_5_N,Bramble_5_S,Bramble_5_W,Bramble,Dead wood_1.5_E,Dead wood_1.5_N,Dead wood_1.5_S,Dead wood_1.5_W,Dead wood_10_E,Dead wood_10_N,Dead wood_10_S,Dead wood_10_W,Dead wood_5_E,Dead wood_5_N,Dead wood_5_S,Dead wood_5_W,Dead_wood,Ferns_1.5_E,Ferns_1.5_N,Ferns_1.5_S,Ferns_1.5_W,Ferns_10_E,Ferns_10_N,Ferns_10_S,Ferns_10_W,Ferns_5_E,Ferns_5_N,Ferns_5_S,Ferns_5_W,Ferns,Fuscia_1.5_E,Fuscia_1.5_N,Fuscia_1.5_S,Fuscia_1.5_W,Fuscia_10_E,Fuscia_10_N,Fuscia_10_S,Fuscia_10_W,Fuscia_5_E,Fuscia_5_N,Fuscia_5_S,Fuscia_5_W,Fuscia,Gorse_1.5_E,Gorse_1.5_N,Gorse_1.5_S,Gorse_1.5_W,Gorse_10_E,Gorse_10_N,Gorse_10_S,Gorse_10_W,Gorse_5_E,Gorse_5_N,Gorse_5_S,Gorse_5_W,Gorse,Gr & fo_1.5_E,Gr & fo_1.5_N,Gr & fo_1.5_S,Gr & fo_1.5_W,Gr & fo_10_E,Gr & fo_10_N,Gr & fo_10_S,Gr & fo_10_W,Gr & fo_5_E,Gr & fo_5_N,Gr & fo_5_S,Gr & fo_5_W,Gr_fo,Greater Willowherb_1.5_E,Greater Willowherb_1.5_N,Greater Willowherb_1.5_S,Greater Willowherb_1.5_W,Greater Willowherb_10_E,Greater Willowherb_10_N,Greater Willowherb_10_S,Greater Willowherb_10_W,Greater Willowherb_5_E,Greater Willowherb_5_N,Greater Willowherb_5_S,Greater Willowherb_5_W,Greater_willowherb,Heather_1.5_E,Heather_1.5_N,Heather_1.5_S,Heather_1.5_W,Heather_10_E,Heather_10_N,Heather_10_S,Heather_10_W,Heather_5_E,Heather_5_N,Heather_5_S,Heather_5_W,Heather,Holly_1.5_E,Holly_1.5_N,Holly_1.5_S,Holly_1.5_W,Holly_10_E,Holly_10_N,Holly_10_S,Holly_10_W,Holly_5_E,Holly_5_N,Holly_5_S,Holly_5_W,Holly,Lodgepole_1.5_E,Lodgepole_1.5_N,Lodgepole_1.5_S,Lodgepole_1.5_W,Lodgepole_10_E,Lodgepole_10_N,Lodgepole_10_S,Lodgepole_10_W,Lodgepole_5_E,Lodgepole_5_N,Lodgepole_5_S,Lodgepole_5_W,Lodgepole,Moss_1.5_E,Moss_1.5_N,Moss_1.5_S,Moss_1.5_W,Moss_10_E,Moss_10_N,Moss_10_S,Moss_10_W,Moss_5_E,Moss_5_N,Moss_5_S,Moss_5_W,Moss,Rosebay Willowherb_1.5_E,Rosebay Willowherb_1.5_N,Rosebay Willowherb_1.5_S,Rosebay Willowherb_1.5_W,Rosebay Willowherb_10_E,Rosebay Willowherb_10_N,Rosebay Willowherb_10_S,Rosebay Willowherb_10_W,Rosebay Willowherb_5_E,Rosebay Willowherb_5_N,Rosebay Willowherb_5_S,Rosebay Willowherb_5_W,Rosebay_willowherb,Rushes_1.5_E,Rushes_1.5_N,Rushes_1.5_S,Rushes_1.5_W,Rushes_10_E,Rushes_10_N,Rushes_10_S,Rushes_10_W,Rushes_5_E,Rushes_5_N,Rushes_5_S,Rushes_5_W,Rushes,Sitka_1.5_E,Sitka_1.5_N,Sitka_1.5_S,Sitka_1.5_W,Sitka_10_E,Sitka_10_N,Sitka_10_S,Sitka_10_W,Sitka_5_E,Sitka_5_N,Sitka_5_S,Sitka_5_W,Sitka,Tormentil_1.5_E,Tormentil_1.5_N,Tormentil_1.5_S,Tormentil_1.5_W,Tormentil_10_E,Tormentil_10_N,Tormentil_10_S,Tormentil_10_W,Tormentil_5_E,Tormentil_5_N,Tormentil_5_S,Tormentil_5_W,Tormentil,Willow_1.5_E,Willow_1.5_N,Willow_1.5_S,Willow_1.5_W,Willow_10_E,Willow_10_N,Willow_10_S,Willow_10_W,Willow_5_E,Willow_5_N,Willow_5_S,Willow_5_W,Willow,Woodrush_1.5_E,Woodrush_1.5_N,Woodrush_1.5_S,Woodrush_1.5_W,Woodrush_10_E,Woodrush_10_N,Woodrush_10_S,Woodrush_10_W,Woodrush_5_E,Woodrush_5_N,Woodrush_5_S,Woodrush_5_W,Woodrush
BG1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,20,10,15,0,0,0,0,0,75,5,10,14.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.416666667,40,0,90,0,5,0,5,0,70,20,75,5,25.83333333,0,0,0,0,20,0,0,0,0,0,0,0,1.666666667,25,80,0,85,0,5,95,100,30,0,15,85,43.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,80,0,0,0,0,0,0,12.91666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,5,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
BG1,50,0,15,10,0,0,0,0,0,0,0,0,0,2.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,5,0,0,5,0,0,2.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,100,85,90,95,85,55,95,100,100,95,95,100,91.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0
BG1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,20,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,10,5,0,5,5,5,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,100,90,100,100,95,95,90,90,80,95,95,90,93.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,15,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,50,0,0,0,0,4.583333333,0,0,0,0,0,0,0,0,0,0,0,0,0,50,85,10,100,95,70,100,15,75,80,100,75,71.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,90,0,0,20,0,35,25,20,0,10,20.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,100,100,100,100,100,85,100,100,80,100,89.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,20,0,9.583333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,1.666666667,0,0,0,0,5,0,0,0,0,0,0,0,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,5,0,0,5,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,50,30,65,65,50,50,20,60,50,75,56.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,50,20,25,30,0,35,70,40,25,20,29.58333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,50,0,0,0,25,5,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG3,10,0,20,0,15,0,0,0,0,0,0,0,0,2.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,45,25,90,75,0,15,0,60,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.833333333,0,0,0,0,0,0,0,0,0,0,0,85,7.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,90,15,25,0,55,75,0,15,90,0,60,5,35.83333333,0,0,0,0,0,0,0,10,0,0,0,0,0.833333333,10,15,75,85,0,0,10,0,10,0,40,25,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.833333333,35,20,5,5,0,5,5,30,0,15,0,10,10.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,80,25,85,85,45,5,55,10,85,0,5,43.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,70,10,15,50,90,5,90,0,100,85,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG3,100,0,0,10,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,60,10,40,0,10,30,0,30,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,40,60,35,60,40,0,10,0,22.91666667,0,0,0,0,0,0,0,0,0,0,0,0,0,100,70,90,80,0,30,25,40,50,55,90,70,58.33333333,0,0,0,0,0,0,0,0,0,15,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,30,5,5,100,85,0,10,100,0,10,45.41666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,15,0,0,0,60,0,70,5,17.5,0,0,0,10,0,0,10,0,0,0,5,65,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,80,0,0,0,30,0,25,10,18.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,5,0,0,0,0,10,2.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1,50,10,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,100,0,10,0,40,0,30,0,15.41666667,0,0,0,5,0,0,0,0,0,0,0,0,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,15,0,90,0,0,0,20,13.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,60,90,95,0,85,90,10,60,100,70,80,68.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BH1,100,0,70,0,50,0,0,0,0,0,0,0,0,10,0,0,0,0,40,0,0,0,0,10,0,0,4.166666667,0,0,0,0,0,30,35,5,0,5,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,20,0,0,0,5,0,15,45,5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,80,50,40,20,60,5,85,40,95,100,53.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,50,0,90,0,0,0,0,13.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BT1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,10,0,0,10,0,0,45,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,85,0,0,0,0,0,0,0,8.75,5,5,85,5,0,65,5,0,20,10,70,80,29.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,35,15,0,90,15,15,5,85,0,10,5,10,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,60,0,5,0,10,85,10,30,80,15,5,25.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,5,5,2.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BT1,50,0,0,5,0,0,0,0,0,0,0,0,0,0.416666667,0,0,0,0,0,0,0,0,0,0,0,5,0.416666667,5,0,0,0,0,0,5,5,5,0,0,15,2.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,20,0,5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.64,10,0,0,15,0,0,5,0,20,0,5.303333333,80,40.91,45,95,10,25,5,60,60,65,10,20,42.9925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36,15,0,90,50,5,0,30,25,60,60,30.94666667,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,1.25,0,4.545,20,5,0,10,80,15,0,5,0,0,11.62875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545,5,0,0,0,0,0,0,0,10,0,1.62875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BT1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,10,30,22.74,5,0,0,0,33.33,5,9.6725,0,0,0,0,0,0,0,0,20,0,0,0,1.666666667,0,5,5,0,35,0,0,5,35,0,0,10,7.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,5,0,0,5,0,5,35,0,0,5.416666667,5,80,80,80,25,36.36,50,30,20,35,61.91,70,47.7725,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,5,5,5,0,40,45,10,15,0,10,17.91666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,40.9,0,20,10,15,0,5,9.241666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0.396666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
